"ZUPANIJA_MBR";"GROP_MBR";"GROP_NAZIV";"GROP_VRSTA";"NASELJE_MBR";"NASELJE_NAZIV";"ULICA_MBR";"ULICA_NAZIV"
"14";"2054";"KOŠKA";"2";"35041";"ANDRIJEVAC";"350410003";"ULICA JOSIPA KOZARCA"
"14";"2054";"KOŠKA";"2";"35041";"ANDRIJEVAC";"350410004";"ULICA KRALJA TOMISLAVA"
"1";"1015";"DUGO SELO";"1";"167";"ANDRILOVEC";"1670001";"ANDRILOVEČKA CESTA"
"1";"1015";"DUGO SELO";"1";"167";"ANDRILOVEC";"1670002";"GALOVČEVA ULICA"
"1";"1015";"DUGO SELO";"1";"167";"ANDRILOVEC";"1670003";"PAVLIĆEVA ULICA"
"1";"1015";"DUGO SELO";"1";"167";"ANDRILOVEC";"1670004";"RUSTAMBEG MILANA"
"1";"1015";"DUGO SELO";"1";"167";"ANDRILOVEC";"1670006";"ULICA POLJANA"
"1";"1015";"DUGO SELO";"1";"167";"ANDRILOVEC";"1670005";"VATROGASNA ULICA"
"18";"2917";"NOVIGRAD - CITTANOVA";"1";"175";"ANTENAL";"1750001";"ANTENAL"
"18";"2917";"NOVIGRAD - CITTANOVA";"1";"175";"ANTENAL";"1750002";"MIRNA"
"18";"2917";"NOVIGRAD - CITTANOVA";"1";"175";"ANTENAL";"1750003";"STANCIJA ROSELLO"
"18";"2917";"NOVIGRAD - CITTANOVA";"1";"175";"ANTENAL";"1750004";"VITORIJA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830001";"IVANA GUNDULIĆA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830008";"IVANA KOZARCA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830002";"KOLODVORSKA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830003";"MATIJE GUPCA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830004";"PETRA ZRINSKOG"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830007";"SUNČANA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830006";"ULICA KRALJA TOMISLAVA"
"16";"4588";"TORDINCI";"2";"183";"ANTIN";"1830005";"ZLATANA SREMCA"
"6";"2275";"LEGRAD";"2";"191";"ANTOLOVEC";"1910001";"ANTOLOVEC"
"18";"3484";"POREČ - PARENZO";"1";"221";"ANTONCI";"2210001";"ANTONCI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130001";"ANTONCI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130003";"BURI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130004";"BUZEĆANI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130005";"CORTINA"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130007";"KRTI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130008";"PAOLETIĆI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130009";"PINCINI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130011";"RUCAJ"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130012";"VIŽINTINI ZAVRŠKI"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130013";"ZABRDA"
"18";"1384";"GROŽNJAN - GRISIGNANA";"2";"213";"ANTONCI";"2130014";"ZUBINI"
"11";"4758";"VELIKA";"2";"78";"ANTUNOVAC";"780001";"ANTUNOVAC"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480004";"BRAĆE RADIĆA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480005";"CERENKO PUSTARA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480006";"EKONOMIJA ŠTADAR"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480032";"GOSPODARSKA ZONA ANTUNOVAC"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480010";"KOLODVORSKA ULICA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480009";"KOLOĐVAR"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480013";"LENC PUSTARA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480027";"MALI BUNAR"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480014";"MIRNA ULICA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480015";"NASELJE JOSIP DVOR"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480017";"ORLOVNJAK"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480023";"ORLOVNJAK TOVILIŠTE"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480024";"ORLOVNJAK TVORNICA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480028";"SELEŠ"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480029";"STARI SELEŠ"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480020";"ŠANDORA PETEFIJA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480021";"ŠKOLSKA ULICA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480001";"ULICA A.G. MATOŠA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480002";"ULICA ANTE STARČEVIĆA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480003";"ULICA BANA JOSIPA JELAČIĆA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480007";"ULICA HRVATSKE REPUBLIKE"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480008";"ULICA J. KOZARCA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480031";"ULICA JOSIPIN DVOR"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480011";"ULICA KRALJA ZVONIMIRA"
